"MONTH;DAYOF WEEK;DEP DEL15;DEPTIMEBLK;DISTANCEGROUP;SEGMENTNUMBER;CONCURRENTFLIGHTS;NUMBEROFSEATS;CARRIERNAME;AIRPORTFLIGHTSMONTH;AIRLINEFLIGHTSMONTH;AIRLINEAIRPORTFLIGHTSMONTH;AVGMONTHLYPASSAIRPORT;AVGMONTHLYPASSAIRLINE;FLTATTENDANTSPERPASS;GROUNDSERVPERPASS;PLANEAGE;DEPARTINGAIRPORT;LATITUDE;LONGITUDE;PREVIOUSAIRPORT;PRCP;SNOW;SNWD;TMAX;AWND"
"1;7;0;0800-0859;2;1;25;143;Southwest Airlines Co.;13056;107363;5873;1903352;13382999;6.178236301460919e-05;9.889412309998219e-05;8;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;0;0700-0759;7;1;29;191;Delta Air Lines Inc.;13056;73508;1174;1903352;12460183;0.0001441658849878598;0.0001486602009422039;3;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;0;0600-0659;7;1;27;199;Delta Air Lines Inc.;13056;73508;1174;1903352;12460183;0.0001441658849878598;0.0001486602009422039;18;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;0;0600-0659;9;1;27;180;Delta Air Lines Inc.;13056;73508;1174;1903352;12460183;0.0001441658849878598;0.0001486602009422039;2;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;0;0001-0559;7;1;10;182;Spirit Air Lines;13056;15023;1257;1903352;2688839;9.173723925704242e-06;0.00012465107307156237;1;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;0;0001-0559;3;1;10;180;Frontier Airlines Inc.;13056;9496;581;1903352;1857122;0.00011572564827677376;7.134694872433899e-06;5;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;0;0700-0759;6;1;29;186;Frontier Airlines Inc.;13056;9496;581;1903352;1857122;0.00011572564827677376;7.134694872433899e-06;2;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;1;0001-0559;7;1;10;186;Frontier Airlines Inc.;13056;9496;581;1903352;1857122;0.00011572564827677376;7.134694872433899e-06;3;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;0;0001-0559;7;1;10;180;Frontier Airlines Inc.;13056;9496;581;1903352;1857122;0.00011572564827677376;7.134694872433899e-06;3;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;0;0600-0659;8;1;27;186;Frontier Airlines Inc.;13056;9496;581;1903352;1857122;0.00011572564827677376;7.134694872433899e-06;1;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
